cleaned_summary,Sentiment
operations specialist reno nv,Neutral
horrible place work stay away like,Negative
good youre temp,Positive
great longer year tenure coming end,Positive
inbound dock,Neutral
,Neutral
cultish,Neutral
,Neutral
sdets perspective,Neutral
great place learn,Positive
brace,Neutral
review,Neutral
things keep mind joining amazon,Neutral
great place work,Positive
elitist arrogant managers low selfawareness,Neutral
managers politics matter lot customers products,Neutral
great people good pay worklife balance ok poor working leaving,Positive
poor worklife balance fragile legacy systems primitive tools,Negative
seven wonderful years google,Positive
cs technical support ops,Neutral
constant change,Neutral
excellent place learn grow,Positive
horrible food,Negative
great company work everybody,Positive
probably preferred employer google set problems,Neutral
industrial leading service provider,Neutral
microsoft good place work,Positive
years cant think reason leave,Neutral
great company great people lots opportunities,Positive
good,Positive
sales organization,Neutral
live company motto,Neutral
great benefits terrible pay rate,Positive
worked sick long hours dont seem care,Negative
sr electrical engineer,Neutral
mixed experience,Neutral
software development engineer,Neutral
fired still training asking hour personal time,Negative
mindless work little communication,Negative
stay away amazon,Neutral
pay well money goes far,Neutral
netflix tv show action series hint survivor,Neutral
great place work long fit type,Positive
quietly crunching,Neutral
ecstatic amazon years lifer,Neutral
terrible,Negative
years constant change,Neutral
say hello work goodbye life,Neutral
applied scientist,Neutral
good customer employee,Positive
good compensation demanding,Positive
great company everybody,Positive
great,Positive
senior program manager,Neutral
incredible place incredible place grow,Positive
years mostly waste time building subpar products,Negative
great place work everyone,Positive
bad work life balance,Negative
bad work life balance,Negative
lots opportunities good compensation operational support burdensome,Positive
,Neutral
good place work great company used,Positive
family room specialist,Neutral
product marketing manager,Neutral
amazon web services,Neutral
smart engineers dilbertlike management,Positive
google best workplace,Positive
make,Neutral
money good company culture,Positive
company lost direction,Neutral
please understand getting,Neutral
everyone work least,Negative
ok company work,Positive
working amazon makes miserable,Negative
nice place work,Positive
rewarding compensation sustainable,Positive
work life balance max,Neutral
risk investigator,Neutral
working apple retail store crappy compensation high expectations,Positive
cliquish cultish toxic,Negative
sr product manager,Neutral
great place workentrepreneurial spirit large company security,Positive
good place learn,Positive
building future us,Neutral
great technology challenges,Positive
intense great,Positive
fast paced think,Positive
great place progress engineering skills,Positive
years still feel like im surrounded people smarter job stressful times worth,Negative
central operations associate,Neutral
happiest place ive ever worked,Neutral
great place work great comp,Positive
good place experienced engineers,Positive
get ready move fast,Positive
workaholic life,Neutral
whirlpool,Neutral
great place work,Positive
best place ive worked,Positive
disappointed work culture,Negative
google cares deeply employees,Neutral
still day one better worse,Neutral
thoughts years,Neutral
open culture big impact,Neutral
meet lifelong friends learn alot,Neutral
exciting products boring company,Negative
work hard,Negative
coin flip experience youll get,Neutral
team lead fraud risk management,Neutral
software dev manager,Neutral
review,Neutral
hard place start really rewarding,Neutral
overly strict harsh work environment low pay,Neutral
work google,Neutral
amazon sde,Neutral
tech ops associate,Neutral
support engineer,Neutral
best one,Positive
one truly great companies earth,Positive
overall good however see things sliding,Positive
excellent opportunities,Positive
work hard fun make history,Neutral
high performance standards,Positive
best place get opportunities learn new technologies,Positive
usually mixed experiance,Neutral
must drink koolaid,Neutral
decade microsoft pr,Neutral
market leading mature company mature company pros cons,Neutral
sde review,Neutral
great compensation culture,Positive
love,Positive
vcm note review team vcm amwas part,Neutral
vcm note review team vcm amwas part,Neutral
ok fud around ceo search isnt helping anyone,Positive
best culture great colleagues excellent pay real worklife balance,Positive
microsoft retail,Neutral
still great company research jumping,Positive
worth,Positive
tired company trying recover,Negative
engineer,Neutral
glad working experience,Positive
great balance bigcompany security fun fastmoving projects,Positive
make sure good experience,Positive
